"Period","Direction","Country","Count"
201502,"Arrival","Afghanistan",3
201502,"Arrival","Albania",1
201502,"Arrival","Argentina",63
201502,"Arrival","Armenia",1
201502,"Arrival","Australia",2074
201502,"Arrival","Austria",11
201502,"Arrival","Azerbaijan",1
201502,"Arrival","Bahamas",1
201502,"Arrival","Bahrain",8
201502,"Arrival","Bangladesh",39
201502,"Arrival","Barbados",1
201502,"Arrival","Belgium",19
201502,"Arrival","Belize",5
201502,"Arrival","Bosnia and Herzegovina",1
201502,"Arrival","Botswana",5
201502,"Arrival","Brazil",71
201502,"Arrival","Brunei Darussalam",21
201502,"Arrival","Bulgaria",4
201502,"Arrival","Cambodia",33
201502,"Arrival","Cameroon",1
201502,"Arrival","Canada",154
201502,"Arrival","Chile",58
201502,"Arrival","China",1265
201502,"Arrival","Colombia",15
201502,"Arrival","Cook Islands",39
201502,"Arrival","Costa Rica",1
201502,"Arrival","Croatia",2
201502,"Arrival","Curacao",5
201502,"Arrival","Cyprus",3
201502,"Arrival","Czech Republic",58
201502,"Arrival","Denmark",9
201502,"Arrival","Ecuador",1
201502,"Arrival","Egypt",7
201502,"Arrival","Estonia",3
201502,"Arrival","Ethiopia",8
201502,"Arrival","Faeroe Islands",1
201502,"Arrival","Falkland Islands",2
201502,"Arrival","Fiji",171
201502,"Arrival","Finland",8
201502,"Arrival","Former Yugoslav Republic of Macedonia (FYROM)",2
201502,"Arrival","France",252
201502,"Arrival","French Polynesia",1
201502,"Arrival","Germany",249
201502,"Arrival","Ghana",2
201502,"Arrival","Greece",1
201502,"Arrival","Guatemala",1
201502,"Arrival","Guyana",3
201502,"Arrival","Hong Kong (Special Administrative Region)",104
201502,"Arrival","Hungary",5
201502,"Arrival","Iceland",2
201502,"Arrival","India",2260
201502,"Arrival","Indonesia",94
201502,"Arrival","Iran",30
201502,"Arrival","Iraq",2
201502,"Arrival","Ireland",112
201502,"Arrival","Israel",19
201502,"Arrival","Italy",58
201502,"Arrival","Jamaica",2
201502,"Arrival","Japan",186
201502,"Arrival","Jordan",4
201502,"Arrival","Kazakhstan",5
201502,"Arrival","Kenya",23
201502,"Arrival","Kiribati",9
201502,"Arrival","South Korea",177
201502,"Arrival","Kuwait",12
201502,"Arrival","Laos",11
201502,"Arrival","Latvia",3
201502,"Arrival","Lebanon",1
201502,"Arrival","Libya",1
201502,"Arrival","Lithuania",1
201502,"Arrival","Macau (Special Administrative Region)",4
201502,"Arrival","Malawi",1
201502,"Arrival","Malaysia",226
201502,"Arrival","Maldives",7
201502,"Arrival","Malta",3
201502,"Arrival","Marshall Islands",2
201502,"Arrival","Mauritius",1
201502,"Arrival","Mexico",27
201502,"Arrival","Mongolia",2
201502,"Arrival","Morocco",1
201502,"Arrival","Mozambique",1
201502,"Arrival","Myanmar",13
201502,"Arrival","Namibia",2
201502,"Arrival","Nauru",2
201502,"Arrival","Nepal",42
201502,"Arrival","Netherlands",54
201502,"Arrival","New Caledonia",23
201502,"Arrival","Nigeria",12
201502,"Arrival","Niue",8
201502,"Arrival","Norway",7
201502,"Arrival","Not Stated",351
201502,"Arrival","Oman",12
201502,"Arrival","Pakistan",45
201502,"Arrival","Panama",1
201502,"Arrival","Papua New Guinea",39
201502,"Arrival","Paraguay",1
201502,"Arrival","Peru",7
201502,"Arrival","Philippines",375
201502,"Arrival","Poland",12
201502,"Arrival","Portugal",4
201502,"Arrival","Qatar",8
201502,"Arrival","Reunion",1
201502,"Arrival","Romania",2
201502,"Arrival","Russia",67
201502,"Arrival","Samoa",305
201502,"Arrival","Samoa, American",3
201502,"Arrival","Saudi Arabia",54
201502,"Arrival","Senegal",1
201502,"Arrival","Serbia",1
201502,"Arrival","Singapore",159
201502,"Arrival","Slovakia",9
201502,"Arrival","Slovenia",3
201502,"Arrival","Solomon Islands",10
201502,"Arrival","Somalia",1
201502,"Arrival","South Africa",173
201502,"Arrival","South Sudan",1
201502,"Arrival","Spain",20
201502,"Arrival","Sri Lanka",94
201502,"Arrival","St Vincent and the Grenadines",1
201502,"Arrival","Swaziland",1
201502,"Arrival","Sweden",31
201502,"Arrival","Switzerland",21
201502,"Arrival","Syria",1
201502,"Arrival","Taiwan",60
201502,"Arrival","Tanzania",8
201502,"Arrival","Thailand",75
201502,"Arrival","Timor-Leste",13
201502,"Arrival","Tokelau",7
201502,"Arrival","Tonga",100
201502,"Arrival","Turkey",8
201502,"Arrival","Tuvalu",27
201502,"Arrival","Uganda",3
201502,"Arrival","Ukraine",13
201502,"Arrival","United Arab Emirates",64
201502,"Arrival","United Kingdom",998
201502,"Arrival","United States of America",336
201502,"Arrival","Uruguay",71
201502,"Arrival","Vanuatu",21
201502,"Arrival","Venezuela",1
201502,"Arrival","Viet Nam",113
201502,"Arrival","Yemen",1
201502,"Arrival","Zimbabwe",9
201502,"Departure","Argentina",23
201502,"Departure","Australia",2524
201502,"Departure","Austria",7
201502,"Departure","Bahamas",1
201502,"Departure","Bahrain",3
201502,"Departure","Belgium",13
201502,"Departure","Belize",1
201502,"Departure","Bermuda",1
201502,"Departure","Brazil",22
201502,"Departure","Cambodia",8
201502,"Departure","Canada",77
201502,"Departure","Cayman Islands",1
201502,"Departure","Chile",20
201502,"Departure","China",201
201502,"Departure","Colombia",3
201502,"Departure","Cook Islands",24
201502,"Departure","Czech Republic",24
201502,"Departure","Denmark",12
201502,"Departure","Ecuador",2
201502,"Departure","Ethiopia",1
201502,"Departure","Fiji",32
201502,"Departure","Finland",3
201502,"Departure","France",64
201502,"Departure","French Polynesia",1
201502,"Departure","Germany",74
201502,"Departure","Guatemala",2
201502,"Departure","Hong Kong (Special Administrative Region)",24
201502,"Departure","Hungary",2
201502,"Departure","India",100
201502,"Departure","Indonesia",24
201502,"Departure","Iran",2
201502,"Departure","Iraq",1
201502,"Departure","Ireland",49
201502,"Departure","Israel",7
201502,"Departure","Italy",15
201502,"Departure","Japan",74
201502,"Departure","Jordan",1
201502,"Departure","Kenya",2
201502,"Departure","Kiribati",4
201502,"Departure","South Korea",93
201502,"Departure","Laos",2
201502,"Departure","Latvia",1
201502,"Departure","Lebanon",1
201502,"Departure","Libya",4
201502,"Departure","Macau (Special Administrative Region)",1
201502,"Departure","Malaysia",44
201502,"Departure","Maldives",2
201502,"Departure","Mexico",6
201502,"Departure","Micronesia, Federated States of",1
201502,"Departure","Mongolia",4
201502,"Departure","Mozambique",5
201502,"Departure","Myanmar",7
201502,"Departure","Namibia",2
201502,"Departure","Nauru",1
201502,"Departure","Nepal",4
201502,"Departure","Netherlands",26
201502,"Departure","New Caledonia",3
201502,"Departure","Niue",8
201502,"Departure","Norway",8
201502,"Departure","Not Stated",96
201502,"Departure","Oman",1
201502,"Departure","Pakistan",9
201502,"Departure","Papua New Guinea",6
201502,"Departure","Peru",6
201502,"Departure","Philippines",19
201502,"Departure","Poland",1
201502,"Departure","Qatar",14
201502,"Departure","Romania",2
201502,"Departure","Russia",4
201502,"Departure","Samoa",36
201502,"Departure","Saudi Arabia",9
201502,"Departure","Serbia",2
201502,"Departure","Singapore",38
201502,"Departure","Slovakia",3
201502,"Departure","Slovenia",1
201502,"Departure","Solomon Islands",1
201502,"Departure","South Africa",18
201502,"Departure","Spain",4
201502,"Departure","Sri Lanka",8
201502,"Departure","St Lucia",1
201502,"Departure","Suriname",1
201502,"Departure","Sweden",9
201502,"Departure","Switzerland",12
201502,"Departure","Taiwan",27
201502,"Departure","Tanzania",7
201502,"Departure","Thailand",27
201502,"Departure","Timor-Leste",3
201502,"Departure","Tokelau",2
201502,"Departure","Tonga",24
201502,"Departure","Turkey",3
201502,"Departure","Tuvalu",2
201502,"Departure","United Arab Emirates",16
201502,"Departure","United Kingdom",584
201502,"Departure","United States of America",185
201502,"Departure","Uruguay",5
201502,"Departure","Vanuatu",2
201502,"Departure","Viet Nam",22
201502,"Departure","Zambia",1
201502,"Departure","Zimbabwe",1
201502,"Net migration","Afghanistan",3
201502,"Net migration","Albania",1
201502,"Net migration","Argentina",40
201502,"Net migration","Armenia",1
201502,"Net migration","Australia",-450
201502,"Net migration","Austria",4
201502,"Net migration","Azerbaijan",1
201502,"Net migration","Bahrain",5
201502,"Net migration","Bangladesh",39
201502,"Net migration","Barbados",1
201502,"Net migration","Belgium",6
201502,"Net migration","Belize",4
201502,"Net migration","Bermuda",-1
201502,"Net migration","Bosnia and Herzegovina",1
201502,"Net migration","Botswana",5
201502,"Net migration","Brazil",49
201502,"Net migration","Brunei Darussalam",21
201502,"Net migration","Bulgaria",4
201502,"Net migration","Cambodia",25
201502,"Net migration","Cameroon",1
201502,"Net migration","Canada",77
201502,"Net migration","Cayman Islands",-1
201502,"Net migration","Chile",38
201502,"Net migration","China",1064
201502,"Net migration","Colombia",12
201502,"Net migration","Cook Islands",15
201502,"Net migration","Costa Rica",1
201502,"Net migration","Croatia",2
201502,"Net migration","Curacao",5
201502,"Net migration","Cyprus",3
201502,"Net migration","Czech Republic",34
201502,"Net migration","Denmark",-3
201502,"Net migration","Ecuador",-1
201502,"Net migration","Egypt",7
201502,"Net migration","Estonia",3
201502,"Net migration","Ethiopia",7
201502,"Net migration","Faeroe Islands",1
201502,"Net migration","Falkland Islands",2
201502,"Net migration","Fiji",139
201502,"Net migration","Finland",5
201502,"Net migration","Former Yugoslav Republic of Macedonia (FYROM)",2
201502,"Net migration","France",188
201502,"Net migration","Germany",175
201502,"Net migration","Ghana",2
201502,"Net migration","Greece",1
201502,"Net migration","Guatemala",-1
201502,"Net migration","Guyana",3
201502,"Net migration","Hong Kong (Special Administrative Region)",80
201502,"Net migration","Hungary",3
201502,"Net migration","Iceland",2
201502,"Net migration","India",2160
201502,"Net migration","Indonesia",70
201502,"Net migration","Iran",28
201502,"Net migration","Iraq",1
201502,"Net migration","Ireland",63
201502,"Net migration","Israel",12
201502,"Net migration","Italy",43
201502,"Net migration","Jamaica",2
201502,"Net migration","Japan",112
