"Period","Passenger_type","Direction","Country","Count"
201502,"Overseas visitor","Arrival","Afghanistan",32
201502,"Overseas visitor","Arrival","Andorra",16
201502,"Overseas visitor","Arrival","Antigua and Barbuda",16
201502,"Overseas visitor","Arrival","Argentina",352
201502,"Overseas visitor","Arrival","Australia",107264
201502,"Overseas visitor","Arrival","Austria",1024
201502,"Overseas visitor","Arrival","Bahrain",32
201502,"Overseas visitor","Arrival","Bangladesh",128
201502,"Overseas visitor","Arrival","Belarus",32
201502,"Overseas visitor","Arrival","Belgium",880
201502,"Overseas visitor","Arrival","Bermuda",32
201502,"Overseas visitor","Arrival","Botswana",16
201502,"Overseas visitor","Arrival","Brazil",1184
201502,"Overseas visitor","Arrival","Brunei Darussalam",64
201502,"Overseas visitor","Arrival","Bulgaria",80
201502,"Overseas visitor","Arrival","Cambodia",64
201502,"Overseas visitor","Arrival","Canada",8768
201502,"Overseas visitor","Arrival","Cayman Islands",32
201502,"Overseas visitor","Arrival","Chile",752
201502,"Overseas visitor","Arrival","China, People's Republic of",55968
201502,"Overseas visitor","Arrival","Colombia",96
201502,"Overseas visitor","Arrival","Cook Islands",816
201502,"Overseas visitor","Arrival","Costa Rica",48
201502,"Overseas visitor","Arrival","Croatia",80
201502,"Overseas visitor","Arrival","Cyprus",64
201502,"Overseas visitor","Arrival","Czech Republic",592
201502,"Overseas visitor","Arrival","Denmark",1776
201502,"Overseas visitor","Arrival","Ecuador",32
201502,"Overseas visitor","Arrival","Egypt",48
201502,"Overseas visitor","Arrival","Estonia",64
201502,"Overseas visitor","Arrival","Ethiopia",16
201502,"Overseas visitor","Arrival","Faeroe Islands",16
201502,"Overseas visitor","Arrival","Fiji",2384
201502,"Overseas visitor","Arrival","Finland",528
201502,"Overseas visitor","Arrival","Former Yugoslav Republic of Macedonia (FYROM)",16
201502,"Overseas visitor","Arrival","France",4496
201502,"Overseas visitor","Arrival","French Guiana",16
201502,"Overseas visitor","Arrival","French Polynesia",1664
201502,"Overseas visitor","Arrival","Gabon",16
201502,"Overseas visitor","Arrival","Gaza Strip/Palestine/West Bank",16
201502,"Overseas visitor","Arrival","Germany",13008
201502,"Overseas visitor","Arrival","Ghana",16
201502,"Overseas visitor","Arrival","Gibraltar",32
201502,"Overseas visitor","Arrival","Greece",64
201502,"Overseas visitor","Arrival","Guam",32
201502,"Overseas visitor","Arrival","Guatemala",16
201502,"Overseas visitor","Arrival","Hong Kong (Special Administrative Region)",4064
201502,"Overseas visitor","Arrival","Hungary",288
201502,"Overseas visitor","Arrival","Iceland",32
201502,"Overseas visitor","Arrival","India",4352
201502,"Overseas visitor","Arrival","Indonesia",720
201502,"Overseas visitor","Arrival","Iran",32
201502,"Overseas visitor","Arrival","Iraq",32
201502,"Overseas visitor","Arrival","Ireland",1152
201502,"Overseas visitor","Arrival","Israel",864
201502,"Overseas visitor","Arrival","Italy",896
201502,"Overseas visitor","Arrival","Jamaica",32
201502,"Overseas visitor","Arrival","Japan",9488
201502,"Overseas visitor","Arrival","Kazakhstan",16
201502,"Overseas visitor","Arrival","Kenya",80
201502,"Overseas visitor","Arrival","Kiribati",80
201502,"Overseas visitor","Arrival","Korea, Republic of",6000
201502,"Overseas visitor","Arrival","Kosovo",16
201502,"Overseas visitor","Arrival","Kuwait",16
201502,"Overseas visitor","Arrival","Laos",32
201502,"Overseas visitor","Arrival","Latvia",96
201502,"Overseas visitor","Arrival","Lebanon",16
201502,"Overseas visitor","Arrival","Lithuania",32
201502,"Overseas visitor","Arrival","Luxembourg",80
201502,"Overseas visitor","Arrival","Macau (Special Administrative Region)",160
201502,"Overseas visitor","Arrival","Madagascar",16
201502,"Overseas visitor","Arrival","Malaysia",2176
201502,"Overseas visitor","Arrival","Maldives",16
201502,"Overseas visitor","Arrival","Mali",16
201502,"Overseas visitor","Arrival","Malta",48
201502,"Overseas visitor","Arrival","Mauritius",32
201502,"Overseas visitor","Arrival","Mayotte",16
201502,"Overseas visitor","Arrival","Mexico",288
201502,"Overseas visitor","Arrival","Micronesia, Federated States of",16
201502,"Overseas visitor","Arrival","Monaco",16
201502,"Overseas visitor","Arrival","Mongolia",16
201502,"Overseas visitor","Arrival","Morocco",16
201502,"Overseas visitor","Arrival","Mozambique",16
201502,"Overseas visitor","Arrival","Myanmar",48
201502,"Overseas visitor","Arrival","Nepal",16
201502,"Overseas visitor","Arrival","Netherlands",3360
201502,"Overseas visitor","Arrival","New Caledonia",1264
201502,"Overseas visitor","Arrival","New Zealand",1648
201502,"Overseas visitor","Arrival","Nigeria",16
201502,"Overseas visitor","Arrival","Niue",64
201502,"Overseas visitor","Arrival","Norfolk Island",64
201502,"Overseas visitor","Arrival","Norway",688
201502,"Overseas visitor","Arrival","Not Stated",4960
201502,"Overseas visitor","Arrival","Oman",64
201502,"Overseas visitor","Arrival","Pakistan",128
201502,"Overseas visitor","Arrival","Panama",32
201502,"Overseas visitor","Arrival","Papua New Guinea",304
201502,"Overseas visitor","Arrival","Peru",80
201502,"Overseas visitor","Arrival","Philippines",1136
201502,"Overseas visitor","Arrival","Poland",608
201502,"Overseas visitor","Arrival","Portugal",144
201502,"Overseas visitor","Arrival","Puerto Rico",32
201502,"Overseas visitor","Arrival","Qatar",128
201502,"Overseas visitor","Arrival","Reunion",32
201502,"Overseas visitor","Arrival","Romania",96
201502,"Overseas visitor","Arrival","Russia",528
201502,"Overseas visitor","Arrival","Samoa",1728
201502,"Overseas visitor","Arrival","Samoa, American",112
201502,"Overseas visitor","Arrival","Saudi Arabia",272
201502,"Overseas visitor","Arrival","Senegal",16
201502,"Overseas visitor","Arrival","Serbia",32
201502,"Overseas visitor","Arrival","Seychelles",16
201502,"Overseas visitor","Arrival","Singapore",3520
201502,"Overseas visitor","Arrival","Slovakia",144
201502,"Overseas visitor","Arrival","Slovenia",80
201502,"Overseas visitor","Arrival","Solomon Islands",128
201502,"Overseas visitor","Arrival","South Africa",1600
201502,"Overseas visitor","Arrival","Spain",864
201502,"Overseas visitor","Arrival","Sri Lanka",448
201502,"Overseas visitor","Arrival","Sudan",16
201502,"Overseas visitor","Arrival","Sweden",2192
201502,"Overseas visitor","Arrival","Switzerland",2496
201502,"Overseas visitor","Arrival","Taiwan",4800
201502,"Overseas visitor","Arrival","Tanzania",16
201502,"Overseas visitor","Arrival","Thailand",1040
201502,"Overseas visitor","Arrival","Timor-Leste",16
201502,"Overseas visitor","Arrival","Tonga",1504
201502,"Overseas visitor","Arrival","Trinidad and Tobago",16
201502,"Overseas visitor","Arrival","Turkey",160
201502,"Overseas visitor","Arrival","Tuvalu",64
201502,"Overseas visitor","Arrival","Uganda",16
201502,"Overseas visitor","Arrival","Ukraine",80
201502,"Overseas visitor","Arrival","United Arab Emirates",736
201502,"Overseas visitor","Arrival","United Kingdom",33472
201502,"Overseas visitor","Arrival","United States of America",36672
201502,"Overseas visitor","Arrival","Uruguay",128
201502,"Overseas visitor","Arrival","Vanuatu",752
201502,"Overseas visitor","Arrival","Venezuela",16
201502,"Overseas visitor","Arrival","Viet Nam",512
201502,"Overseas visitor","Arrival","Zimbabwe",64
201502,"Overseas visitor","Departure","Afghanistan",26
201502,"Overseas visitor","Departure","Argentina",416
201502,"Overseas visitor","Departure","Australia",101894
201502,"Overseas visitor","Departure","Austria",1222
201502,"Overseas visitor","Departure","Azerbaijan",26
201502,"Overseas visitor","Departure","Bahrain",26
201502,"Overseas visitor","Departure","Bangladesh",104
201502,"Overseas visitor","Departure","Belarus",26
201502,"Overseas visitor","Departure","Belgium",1196
201502,"Overseas visitor","Departure","Bermuda",26
201502,"Overseas visitor","Departure","Brazil",1040
201502,"Overseas visitor","Departure","Bulgaria",78
201502,"Overseas visitor","Departure","Cambodia",26
201502,"Overseas visitor","Departure","Canada",7592
201502,"Overseas visitor","Departure","Chile",624
201502,"Overseas visitor","Departure","China, People's Republic of",48308
201502,"Overseas visitor","Departure","Colombia",52
201502,"Overseas visitor","Departure","Cook Islands",832
201502,"Overseas visitor","Departure","Costa Rica",26
201502,"Overseas visitor","Departure","Croatia",78
201502,"Overseas visitor","Departure","Cyprus",78
201502,"Overseas visitor","Departure","Czech Republic",546
201502,"Overseas visitor","Departure","Denmark",1612
201502,"Overseas visitor","Departure","Ecuador",26
201502,"Overseas visitor","Departure","Egypt",52
201502,"Overseas visitor","Departure","El Salvador",26
201502,"Overseas visitor","Departure","Estonia",26
201502,"Overseas visitor","Departure","Ethiopia",26
201502,"Overseas visitor","Departure","Fiji",2028
201502,"Overseas visitor","Departure","Finland",624
201502,"Overseas visitor","Departure","Former Yugoslav Republic of Macedonia (FYROM)",26
201502,"Overseas visitor","Departure","France",3588
201502,"Overseas visitor","Departure","French Polynesia",1274
201502,"Overseas visitor","Departure","Germany",10764
201502,"Overseas visitor","Departure","Gibraltar",26
201502,"Overseas visitor","Departure","Greece",52
201502,"Overseas visitor","Departure","Greenland",26
201502,"Overseas visitor","Departure","Guam",104
201502,"Overseas visitor","Departure","Guatemala",26
201502,"Overseas visitor","Departure","Hong Kong (Special Administrative Region)",3432
201502,"Overseas visitor","Departure","Hungary",286
201502,"Overseas visitor","Departure","Iceland",26
201502,"Overseas visitor","Departure","India",3952
201502,"Overseas visitor","Departure","Indonesia",806
201502,"Overseas visitor","Departure","Iran",26
201502,"Overseas visitor","Departure","Ireland",1482
201502,"Overseas visitor","Departure","Israel",754
201502,"Overseas visitor","Departure","Italy",1040
201502,"Overseas visitor","Departure","Jamaica",52
201502,"Overseas visitor","Departure","Japan",8008
201502,"Overseas visitor","Departure","Kiribati",78
201502,"Overseas visitor","Departure","Korea, Republic of",8112
201502,"Overseas visitor","Departure","Laos",104
201502,"Overseas visitor","Departure","Latvia",26
201502,"Overseas visitor","Departure","Lebanon",26
201502,"Overseas visitor","Departure","Liechtenstein",26
201502,"Overseas visitor","Departure","Lithuania",78
201502,"Overseas visitor","Departure","Luxembourg",130
201502,"Overseas visitor","Departure","Macau (Special Administrative Region)",104
201502,"Overseas visitor","Departure","Madagascar",26
201502,"Overseas visitor","Departure","Malaysia",1768
201502,"Overseas visitor","Departure","Maldives",26
201502,"Overseas visitor","Departure","Malta",26
201502,"Overseas visitor","Departure","Mexico",208
201502,"Overseas visitor","Departure","Montserrat",26
201502,"Overseas visitor","Departure","Morocco",26
201502,"Overseas visitor","Departure","Mozambique",26
201502,"Overseas visitor","Departure","Myanmar",26
201502,"Overseas visitor","Departure","Nepal",52
201502,"Overseas visitor","Departure","Netherlands",3276
201502,"Overseas visitor","Departure","New Caledonia",2080
201502,"Overseas visitor","Departure","New Zealand",1586
201502,"Overseas visitor","Departure","Niue",104
201502,"Overseas visitor","Departure","Norway",546
201502,"Overseas visitor","Departure","Not Stated",12636
201502,"Overseas visitor","Departure","Oman",26
201502,"Overseas visitor","Departure","Pakistan",182
201502,"Overseas visitor","Departure","Panama",26
201502,"Overseas visitor","Departure","Papua New Guinea",234
201502,"Overseas visitor","Departure","Paraguay",26
